Jay Bradley
Ernest Hammond
Jesus Beck
Phoebe Moore
Mattie Daniels
Alan Simon
Winnie Glover
Mike Caldwell
Katherine George
Jennie Silva
Gertrude Cross
Brian Hopkins
Pearl Lambert
Elsie Walton
Bess Hernandez
Bradley Stanley
Lida Garrett
Oscar Parks
Irene Schultz
Madge Adams
Dorothy Harmon
Lena Gregory
Bessie Andrews
Sue Wagner
Cornelia Mack
Jon Wise
Celia Ortiz
Margaret Christensen
Nellie Burns
Gertrude Ray
Winnie Harris
Joshua Guzman
Lydia Pierce
Dollie Foster
Derek Dawson
Mathilda Walters
Lettie Schultz
Fanny Moss
Inez Mitchell
Mitchell Owen
Lulu Young
Harvey Baldwin
Ricky Turner
Leila Wagner
Gene Johnson
Lucile Griffith
Vernon Young
Philip Webster
Jason McBride
Jimmy Bass
Ivan Barker
Elsie Jefferson
Lelia Rogers
Devin Mitchell
Lottie Barnes
Christian Sanchez
Hannah Porter
Harvey Newton
Jeffery Salazar
Lester Turner
Jeanette Burke
Beatrice Brown
Lena Holmes
Henrietta Sullivan
Lucinda Holt
Theodore Flowers
Dale Luna
